(3,8), (2,4), (6,3), (7,7)
(2,2), (2,2), (2,2), (2,2)
(1,8), (2,5), (5,6), (4,9)
(2,3), (8,3), (5,0), (5,6)
(7,9), (0,6), (0,2), (9,8)
(6,0), (5,2), (7,3), (8,1)
(3,2), (3,2), (5,2), (3,4)
(2,4), (1,2), (3,1), (4,3)
(8,1), (7,1), (7,0), (8,0)
(3,1), (6,1), (3,4), (6,4)
(4,2), (3,5), (6,8), (0,5)
(5,2), (3,3), (6,4), (4,5)
(2,5), (2,2), (5,2), (5,5)
(1,3), (5,1), (7,5), (3,7)
(6,6), (6,1), (1,6), (1,1)
(3,9), (3,3), (0,6), (6,6)
(5,6), (5,2), (5,6), (5,3)
(9,6), (7,7), (0,4), (8,7)
(0,2), (1,2), (1,1), (1,0)
(6,5), (1,3), (2,5), (5,4)
